date,city,death,pm10,tempF,o3,dow,season
1987-01-01,balt,24,-13.12751678,33.5,NA,Thursday,Winter
1987-01-02,balt,24,NA,37.0,NA,Friday,Winter
1987-01-03,balt,20,-28.12751678,36.0,NA,Saturday,Winter
1987-01-04,balt,26,NA,32.0,NA,Sunday,Winter
1987-01-05,balt,23,NA,33.5,NA,Monday,Winter
1987-01-06,balt,23,NA,32.5,NA,Tuesday,Winter
1987-01-07,balt,21,14.872483221,42.5,NA,Wednesday,Winter
1987-01-08,balt,28,NA,36.0,NA,Thursday,Winter
1987-01-09,balt,20,-8.304347826,38.0,NA,Friday,Winter
1987-01-10,balt,26,NA,37.5,NA,Saturday,Winter
1987-01-11,balt,25,-12.12751678,37.5,NA,Sunday,Winter
1987-01-12,balt,17,NA,37.0,NA,Monday,Winter
1987-01-13,balt,22,-14.12751678,40.0,NA,Tuesday,Winter
1987-01-14,balt,22,NA,42.5,NA,Wednesday,Winter
1987-01-15,balt,20,-4.5,54.0,NA,Thursday,Winter
1987-01-16,balt,20,NA,45.0,NA,Friday,Winter
1987-01-17,balt,23,-20.12751678,31.0,NA,Saturday,Winter
1987-01-18,balt,25,NA,33.0,NA,Sunday,Winter
1987-01-19,balt,12,-16.12751678,35.5,NA,Monday,Winter
1987-01-20,balt,23,NA,37.0,NA,Tuesday,Winter
1987-01-21,balt,23,-8.902173913,36.0,NA,Wednesday,Winter
1987-01-22,balt,31,NA,29.0,NA,Thursday,Winter
1987-01-23,balt,17,NA,21.5,NA,Friday,Winter
1987-01-24,balt,26,NA,14.0,NA,Saturday,Winter
1987-01-25,balt,20,NA,10.5,NA,Sunday,Winter
1987-01-26,balt,24,NA,21.5,NA,Monday,Winter
1987-01-27,balt,26,NA,15.5,NA,Tuesday,Winter
1987-01-28,balt,23,NA,15.0,NA,Wednesday,Winter
1987-01-29,balt,26,8.8724832215,28.5,NA,Thursday,Winter
1987-01-30,balt,29,NA,33.0,NA,Friday,Winter
1987-01-31,balt,18,-31.12751678,35.5,NA,Saturday,Winter
1987-02-01,balt,24,NA,30.0,NA,Sunday,Winter
1987-02-02,balt,25,19.872483221,42.5,NA,Monday,Winter
1987-02-03,balt,17,NA,42.0,NA,Tuesday,Winter
1987-02-04,balt,19,-22.12751678,38.5,NA,Wednesday,Winter
1987-02-05,balt,28,NA,33.0,NA,Thursday,Winter
1987-02-06,balt,24,94.872483221,37.0,NA,Friday,Winter
1987-02-07,balt,15,NA,38.5,NA,Saturday,Winter
1987-02-08,balt,26,-3.5,38.5,NA,Sunday,Winter
1987-02-09,balt,29,NA,30.0,NA,Monday,Winter
1987-02-10,balt,18,NA,32.5,NA,Tuesday,Winter
1987-02-11,balt,17,NA,35.0,NA,Wednesday,Winter
